ORF,Gene,"SGD annotation",Function,Subgroup
YAL040C,CLN3,"G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis ","kinase regulatory protein",
YBR128C,ATG14,"Subunit of an autophagy-specific phosphatidylinositol 3-kinase complex (with Vps34p, Vps15p, and Vps30p) required for organization of a pre-autophagosomal structure; ATG14 transcription is activated by Gln3p during nitrogen starvation","kinase regulatory protein",
YBR135W,CKS1,"Subunit of the Cdc28 protein kinase, required for mitotic proteolysis, may also be involved in the proteolysis of the G1 cyclins","kinase regulatory protein",
YCL032W,STE50,"Protein involved in mating response, invasive/filamentous growth, and osmotolerance, acts as an adaptor that links G protein-associated Cdc42p-Ste20p complex to the effector Ste11p to modulate signal transduction","kinase regulatory protein",
YDL127W,PCL2,"G1 cyclin, associates with Pho85p cyclin-dependent kinase (Cdk) to contribute to entry into the mitotic cell cycle, essential for cell morphogenesis; localizes to sites of polarized cell growth ","kinase regulatory protein",
YDL155W,CLB3,"B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2, then targeted for ubiquitin-mediated degradation ","kinase regulatory protein",
YDL179W,PCL9,"Cyclin, forms a functional kinase complex with Pho85p cyclin-dependent kinase (Cdk), expressed in late M/early G1 phase, activated by Swi5p ","kinase regulatory protein",
YDR052C,DBF4,"Regulatory subunit of Cdc7p-Dbf4p kinase complex, required for Cdc7p kinase activity and initiation of DNA replication","kinase regulatory protein",
YDR162C,NBP2,"Protein involved in the HOG (high osmolarity glycerol) pathway, negatively regulates Hog1p by recruitment of phosphatase Ptc1p the Pbs2p-Hog1p complex, found in the nucleus and cytoplasm, contains an SH3 domain that binds Pbs2p ","kinase regulatory protein",
YDR373W,FRQ1,"N-myristoylated calcium-binding protein that may have a role in intracellular signaling through its regulation of the phosphatidylinositol 4-kinase Pik1p; member of the recoverin/frequenin branch of the EF-hand superfamily","kinase regulatory protein",
YDR422C,SIP1,"Alternate beta-subunit of the Snf1p kinase complex, may confer substrate specificity","kinase regulatory protein",
YER027C,GAL83,"One of three possible beta-subunits of the Snf1 kinase complex, allows nuclear localization of the Snf1 kinase complex in the presence of a nonfermentable carbon source","kinase regulatory protein",
YER059W,PCL6,"Pho85p cyclin of the Pho80p subfamily; forms the major Glc8p kinase together with Pcl7p and Pho85p; involved in the control of glycogen storage by Pho85p; stabilized by Elongin C binding ","kinase regulatory protein",
YER093C,TSC11,"Subunit of TORC2 (Tor2p-Lst8p-Avo1-Avo2-Tsc11p-Bit61p), a membrane-associated complex that regulates actin cytoskeletal dynamics during polarized growth and cell wall integrity; involved in sphingolipid metabolism; contains a RasGEFN domain","kinase regulatory protein",
YGL019W,CKB1,"Beta regulatory subunit of casein kinase 2, a Ser/Thr protein kinase with roles in cell growth and proliferation; the holoenzyme also contains CKA1, CKA2 and CKB2, the many substrates include transcription factors and all RNA polymerases","kinase regulatory protein",
YGL115W,SNF4,"Activating gamma subunit of the AMP-activated Snf1p kinase complex (contains Snf1p and a Sip1p/Sip2p/Gal83p family member); activates glucose-repressed genes, represses glucose-induced genes; role in sporulation, and peroxisome biogenesis ","kinase regulatory protein",
YGL134W,PCL10,"Pho85p cyclin; recruits, activates, and targets Pho85p cyclin-dependent protein kinase to its substrate ","kinase regulatory protein",
YGL208W,SIP2,"One of three beta subunits of the Snf1 serine/threonine protein kinase complex involved in the response to glucose starvation","kinase regulatory protein",
YGL215W,CLG1,"Cyclin-like protein that interacts with Pho85p; has sequence similarity to G1 cyclins PCL1 and PCL2 ","kinase regulatory protein",
YGR109C,CLB6,"B-type cyclin involved in DNA replication during S phase; activates Cdc28p to promote initiation of DNA synthesis; functions in formation of mitotic spindles along with Clb3p and Clb4p; most abundant during late G1 ","kinase regulatory protein",
YHR071W,PCL5,"Cyclin, interacts with Pho85p cyclin-dependent kinase (Cdk), induced by Gcn4p at level of transcription, specifically required for Gcn4p degradation, may be sensor of cellular protein biosynthetic capacity ","kinase regulatory protein",
YHR186C,KOG1,"Subunit of TORC1, a rapamycin-sensitive complex involved in growth control that contains Tor1p or Tor2p, Lst8p and Tco89p; contains four HEAT repeats and seven WD-40 repeats; may act as a scaffold protein to couple TOR and its effectors","kinase regulatory protein",
YIL050W,PCL7,"Pho85p cyclin of the Pho80p subfamily, forms a functional kinase complex with Pho85p which phosphorylates Mmr1p and is regulated by Pho81p; involved in glycogen metabolism, expression is cell-cycle regulated ","kinase regulatory protein",
YJL006C,CTK2,"Beta subunit of C-terminal domain kinase I (CTDK-I), which phosphorylates the C-terminal repeated domain of the RNA polymerase II large subunit (Rpo21p) to affect both transcription and pre-mRNA 3' end processing; has similarity to cyclins","kinase regulatory protein",
YJL058C,BIT61,"Subunit of TORC2 (Tor2p-Lst8p-Avo1-Avo2-Tsc11p-Bit61p-Slm1p-Slm2p), a membrane-associated complex that regulates cell cycle-dependent actin cytoskeletal dynamics during polarized growth and cell wall integrity","kinase regulatory protein",
YJL157C,FAR1,"Cyclin-dependent kinase inhibitor that mediates cell cycle arrest in response to pheromone; also forms a complex with Cdc24p, Ste4p, and Ste18p that may specify the direction of polarized growth during mating; potential Cdc28p substrate","kinase regulatory protein",
YLL021W,SPA2,"Component of the polarisome, which functions in actin cytoskeletal organization during polarized growth; acts as a scaffold for Mkk1p and Mpk1p cell wall integrity signaling components; potential Cdc28p substrate ","kinase regulatory protein",
YLR079W,SIC1,"Inhibitor of Cdc28-Clb kinase complexes that controls G1/S phase transition, preventing premature S phase and ensuring genomic integrity; phosphorylation targets Sic1p for SCF(CDC4)-dependent turnover; functional homolog of mammalian Kip1 ","kinase regulatory protein",
YLR210W,CLB4,"B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2, then targeted for ubiquitin-mediated degradation","kinase regulatory protein",
YLR253W,,"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondria; transcription is periodic during the metabolic cycle; YLR253W is not an essential gene","kinase regulatory protein",
