"List of most positive genetic interactions between proteins phosphatases and protein kinases.",,,,,,,,,,
"The phosphatase of interest (column A/B) is followed by the most positive genetic interaction score it has with a protein kinase (score: column C, kinase: column D/E), then the second most higherst score, then the third most highest score.",,,,,,,,,,
"Protein Phosphatase","Protein Phosphatase","highest score","highest score","highest score","2nd ",2nd,2nd,3rd,3rd,3rd
ORF,"Gene name",score,ORF,gene,score,ORF,gene,score,ORF,gene
YBL056W,PTC3,2.6067,YCL032W,STE50,1.7971,YKL198C,PTK1,1.7301,YPL209C,IPL1
YBR125C,PTC4,2.201,YKL203C,TOR2,2.0939,YGL179C,TOS3,1.7558,YKL048C,ELM1
YBR276C,PPS1,2.8083,YDR466W,PKH3,2.6394,YJL006C,CTK2,2.1482,YKL139W,CTK1
YCR079W,YCR079W,2.0698,YJL095W,BCK1,1.8957,YOR061W,CKA2,1.4348,YDR283C,GCN2
YCR095C,YCR095C,2.9247,YDR283C,GCN2,2.2871,YDL179W,PCL9,1.7834,YLR248W,RCK2
YDL006W,PTC1,4.4916,YKL048C,ELM1,3.5252,YGR188C,BUB1,3.4551,YDR162C,NBP2
YDL047W,SIT4,3.4831,YDR477W,SNF1,3.3923,YGL083W,SCY1,3.1491,YNL020C,ARK1
YDL134C,PPH21,1.6711,YJR066W,TOR1,1.6578,YJL006C,CTK2,1.6038,YGR040W,KSS1
YDL188C,PPH22,2.202,YJL141C,YAK1,2.0244,YHL007C,STE20,1.8503,YJL106W,IME2
YDL230W,PTP1,1.3173,YPR025C,CCL1,1.2444,YBR136W,MEC1,1.1952,YLR248W,RCK2
YDR075W,PPH3,1.9078,YHL007C,STE20,1.8624,YNL298W,CLA4,1.7262,YDL028C,MPS1
YDR436W,PPZ2,1.3692,YJR059W,PTK2,1.3595,YDL155W,CLB3,1.2456,YKL139W,CTK1
YER075C,PTP3,2.2213,YBR135W,CKS1,2.0243,YGL115W,SNF4,2.0234,YCL032W,STE50
YER089C,PTC2,2.1641,YDL179W,PCL9,1.9907,YOL113W,SKM1,1.7077,YCL032W,STE50
YER134C,YER134C,1.9597,YGL021W,ALK1,1.6503,YFL033C,RIM15,1.441,YOR061W,CKA2
YGR123C,PPT1,1.6756,YOR039W,CKB2,1.5715,YBL088C,TEL1,1.5461,YBL016W,FUS3
YGR203W,YGR203W,3.106,YJL006C,CTK2,1.6141,YDR477W,SNF1,1.5031,YHR205W,SCH9
YHR076W,PTC7,2.0303,YER027C,GAL83,1.3483,YDR422C,SIP1,1.164,YDL179W,PCL9
YIL113W,SDP1,1.7896,YBR274W,CHK1,1.4302,YPL180W,TCO89,1.429,YDR466W,PKH3
YIR026C,YVH1,2.1233,YCL032W,STE50,1.7732,YHL007C,STE20,1.6104,YBR135W,CKS1
YLL010C,PSR1,1.7966,YFL029C,CAK1,1.7582,YMR216C,SKY1,1.3786,YDR466W,PKH3
YLR019W,PSR2,1.428,YDR477W,SNF1,1.2491,YDR523C,SPS1,1.234,YAL040C,CLN3
YLR433C,CNA1,3.4553,YGR188C,BUB1,1.9905,YDL101C,DUN1,1.4082,YLR210W,CLB4
YML016C,PPZ1,3.0022,YGL115W,SNF4,2.9121,YDR162C,NBP2,2.7217,YAR018C,KIN3
YML057W,CMP2,2.0974,YGL180W,ATG1,2.0351,YDR283C,GCN2,1.786,YPL042C,SSN3
YMR036C,MIH1,1.971,YJR059W,PTK2,1.81,YCR008W,SAT4,1.4945,YNL183C,NPR1
YMR277W,FCP1,1.9641,YPL141C,YPL141C,1.7321,YNL298W,CLA4,1.6167,YOL045W,PSK2
YNL032W,SIW14,3.9739,YBR135W,CKS1,3.1423,YDR283C,GCN2,3.0281,YGR188C,BUB1
YNL053W,MSG5,2.4818,YHL007C,STE20,2.4429,YGR109C,CLB6,2.4116,YPR054W,SMK1
YNL056W,YNL056W,2.0139,YNL298W,CLA4,1.56,YGL180W,ATG1,1.3812,YDR283C,GCN2
YNL099C,OCA1,3.779,YPL203W,TPK2,3.0947,YPL180W,TCO89,2.8661,YLR423C,ATG17
YNL217W,YNL217W,1.7826,YCL032W,STE50,1.5426,YGR188C,BUB1,1.4871,YDL101C,DUN1
YNL222W,SSU72,1.622,YLR423C,ATG17,0.8474,YGL019W,CKB1,0.8371,YIL042C,YIL042C
YNR032W,PPG1,3.4144,YNL298W,CLA4,1.8359,YBR128C,ATG14,1.8104,YFL029C,CAK1
YOR090C,PTC5,1.6631,YJL106W,IME2,1.6491,YCR073C,SSK22,1.5672,YER027C,GAL83
YOR208W,PTP2,1.7552,YJL128C,PBS2,1.7225,YKL116C,PRR1,1.4935,YIL147C,SLN1
YPL179W,PPQ1,2.5,YLL019C,KNS1,1.7669,YIL035C,CKA1,1.6871,YJR059W,PTK2
YPR073C,LTP1,1.7672,YCL032W,STE50,1.6451,YDR162C,NBP2,1.3818,YAL040C,CLN3
